# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Daten\20181220\Data002.txt																																																															
																																																																
Log date:	Donnerstag, 20.Dezember 2018	Log time:	14:43:03																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
14:42:53:125	-44.748563	-54.946935	-74.847239	-95.073024	-107.391947	-103.482900	-98.709194	-84.180953	-64.290511	-47.214320	-42.187463	-30.374842	-26.140315	-24.062503	-24.194010	-22.405514	-22.287158	-23.214283	-23.358940	-23.467434	-23.878393	-23.523324	-23.914558	-145.325157	-144.789266	-22.721131	-23.191269	-163.650665	-174.358627	-144.499950	-134.715825	-137.066514	-146.262145	-231.002002	26.853740	7.719464	19.923319	-6.519462	-7.535354	9.583577	6.299188	1.936441	0.581919	-6.782476	35.671288	8.906315	0.072329	-2.705758	-69.833533	3.064114	6.752887	6.805490	57.182554	9.813714	29.480594	16.809889	11.059743	10.172071	94.330009	-9.264672	10.057002	4.214801	1.160550	-0.259726
14:42:53:135	-40.849378	-49.183638	-61.015985	-76.372721	-89.727263	-96.526177	-99.107003	-84.983146	-71.056549	-56.268580	-49.739255	-39.179239	-35.908001	-34.392382	-28.974292	-26.090999	-25.357848	-25.032368	-25.091546	-25.561683	-24.700312	-25.610999	-25.758944	-147.662695	-146.459405	-25.354560	-23.658119	-165.449024	-173.964106	-144.319128	-133.713084	-137.523501	-187.292345	-209.030461	55.528853	0.960001	-3.767677	-10.675085	24.463600	4.116171	4.908501	-8.889877	11.431251	8.127136	11.536456	-1.088221	24.545792	-1.334797	1.236166	1.637263	37.012660	6.805490	8.873438	18.075644	14.038378	-4.431788	35.217589	22.684967	1.338084	28.717853	5.829050	38.183073	-6.867956	26.640041
14:42:53:145	-37.601154	-52.714602	-67.979284	-80.334371	-96.651109	-97.535494	-96.601794	-86.288353	-72.499839	-55.689949	-47.280073	-36.124988	-33.100325	-33.695395	-30.026348	-26.643329	-26.383603	-26.659767	-25.670177	-25.561683	-25.249354	-24.792367	-26.146890	-145.699952	-146.922968	-26.064698	-24.499764	-166.300532	-172.678624	-143.217756	-132.430890	-136.974459	-129.836914	-130.754175	28.221414	0.960001	17.132081	1.768770	9.807139	24.654285	9.067411	10.053714	-4.852610	24.417572	15.800572	6.042749	2.778087	8.248780	-6.960011	7.347957	14.998379	0.065754	30.180869	16.698108	9.813714	-3.011512	13.749062	10.172071	6.716723	-5.204392	18.539207	101.888377	11.871799	9.166042
14:42:53:155	-44.285000	-55.966114	-70.882302	-83.927801	-100.556868	-96.125081	-92.890007	-77.862039	-64.563388	-43.650479	-28.905250	-27.498125	-24.062503	-26.643329	-23.812640	-23.326064	-23.404968	-23.309625	-23.552913	-23.848804	-23.694283	-24.338668	-25.177025	-148.504340	-146.272008	-21.705239	-22.908529	-162.986554	-176.041917	-144.776115	-132.615000	-137.158569	-128.465953	-215.888554	14.567694	5.026857	5.983571	26.656480	-2.192880	-8.212615	14.640023	6.006585	29.053196	18.979755	0.180822	-1.088221	6.867956	-5.450967	1.236166	13.035637	28.750730	8.153437	4.602747	1.574797	2.797813	4.080006	9.715084	18.519481	10.767140	8.367136	7.223025	7.052066	21.244964	5.125487
14:42:53:165	-38.531567	-50.021995	-67.979284	-85.400680	-102.420981	-102.171117	-97.104808	-84.381501	-70.964494	-51.452135	-37.729374	-35.585809	-30.295937	-30.716760	-29.069634	-27.383056	-26.567712	-26.564425	-25.670177	-26.419767	-26.436205	-26.610452	-25.564971	-147.662695	-146.643515	-26.163328	-24.591819	-165.544366	-176.436438	-144.868170	-132.799110	-137.250624	-143.520223	-220.017876	18.667426	-3.110142	8.774808	5.924393	33.813751	6.858093	17.424685	3.294252	19.561674	16.280573	5.848776	18.897564	15.024681	-1.334797	-0.134795	-2.623566	1.282194	12.177553	47.240621	13.946323	-11.260291	1.242742	-1.015892	25.472916	-8.113985	8.367136	8.640013	-0.039452	13.216459	-17.730438
14:42:53:175	-51.432409	-58.477899	-70.011068	-88.349726	-104.817697	-106.001260	-108.236880	-91.305347	-75.925597	-56.847211	-42.641162	-40.168829	-31.229638	-28.132646	-26.298123	-25.906890	-25.265793	-25.318395	-25.380861	-25.561683	-24.884422	-25.430176	-24.013188	-143.921319	-146.087898	-25.555108	-24.407709	-164.788201	-176.041917	-146.150364	-132.522945	-138.250078	-64.178730	-133.486235	20.035100	14.501940	56.156799	15.596737	4.464664	5.487132	3.514526	3.294252	3.277813	9.488234	18.624686	1.772058	6.867956	13.716186	-13.804953	8.774808	6.752887	12.177553	8.873438	-2.557812	-8.462479	25.321683	21.794006	10.172071	2.666306	23.299762	0.161096	35.349096	2.501922	-1.607674
14:42:53:186	-58.767214	-64.888868	-79.200123	-97.561795	-113.428121	-107.211125	-88.576576	-72.342030	-60.772697	-47.309662	-39.366636	-38.189648	-28.944702	-25.650451	-22.665241	-22.405514	-22.566610	-22.448254	-22.398939	-22.326610	-23.237296	-23.158392	-24.401134	-147.379955	-146.087898	-20.998389	-23.095926	-163.746008	-173.171776	-144.227073	-131.608971	-136.247883	-125.747044	-246.115450	9.116726	13.144130	7.377546	-0.999454	-6.200558	4.116171	9.067411	14.120570	-2.136990	21.698664	3.024662	10.336454	12.299197	2.761648	16.273998	4.490966	8.130424	56.584197	8.873438	22.188528	25.278943	25.321683	7.029052	11.546319	-6.762750	5.648228	31.269090	9.866317	7.867409	27.984701
14:42:53:195	-51.340354	-53.832412	-71.460933	-92.127266	-105.176054	-102.072487	-89.783153	-73.946416	-65.102567	-51.646108	-39.820336	-48.703637	-39.126636	-31.410460	-27.060864	-27.471823	-26.942508	-26.179767	-26.534836	-26.324424	-26.163328	-27.609906	-27.310727	-149.438040	-148.497765	-28.191825	-25.433464	-166.017792	-174.555887	-145.966254	-134.623771	-138.795832	-92.896583	-180.181102	5.013706	-11.227415	10.172071	1.768770	16.467971	-30.121691	21.583595	18.187425	3.277813	35.270192	14.380296	16.037285	13.663583	16.458108	5.322748	10.201660	1.282194	-1.282194	-1.068495	15.323859	-0.019726	22.484418	3.014799	11.546319	1.338084	11.086045	28.454839	18.374823	5.184666	5.125487
14:42:53:206	-48.835144	-51.323915	-61.403931	-81.070811	-95.585902	-94.612750	-89.079590	-77.257106	-68.081202	-57.715158	-39.366636	-40.977598	-36.736495	-29.523333	-26.965521	-27.383056	-25.357848	-26.084424	-24.996203	-25.561683	-25.249354	-25.795109	-24.496476	-144.483512	-145.160773	-26.873466	-25.058669	-164.219433	-170.400264	-144.592005	-133.985961	-137.888433	-194.143863	-136.238020	10.484400	21.261403	3.212060	11.444401	5.802749	6.858093	21.583595	10.053714	3.277813	-1.367673	-9.754536	13.196733	31.361145	15.087147	-1.502468	1.637263	-5.602200	-12.049334	11.720566	37.311839	19.647154	6.897545	4.359459	4.592884	17.497013	9.728234	-2.672881	19.772085	-0.180822	3.780828
