# editor:																																																																
# ambient pressure:																																																																
# ambient temperature:																																																																
# comment:																																																																
Filename:	C:\Daten\20181220\Data002.txt																																																															
																																																																
Log date:	Donnerstag, 20.Dezember 2018	Log time:	18:24:36																																																													
																																																																
Scan time:	Port 101	Port 102	Port 103	Port 104	Port 105	Port 106	Port 107	Port 108	Port 109	Port 110	Port 111	Port 112	Port 113	Port 114	Port 115	Port 116	Port 117	Port 118	Port 119	Port 120	Port 121	Port 122	Port 123	Port 124	Port 125	Port 126	Port 127	Port 128	Port 129	Port 130	Port 131	Port 132	Port 201	Port 202	Port 203	Port 204	Port 205	Port 206	Port 207	Port 208	Port 209	Port 210	Port 211	Port 212	Port 213	Port 214	Port 215	Port 216	Port 217	Port 218	Port 219	Port 220	Port 221	Port 222	Port 223	Port 224	Port 225	Port 226	Port 227	Port 228	Port 229	Port 230	Port 231	Port 232
[h/m/s/msec]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]	[Pa]
18:24:26:162	-47.970485	-59.414887	-66.013253	-78.483409	-86.676299	-88.579863	-87.123423	-90.256578	-79.150808	-63.070783	-46.034044	-30.766075	-35.697590	-29.914567	-28.750730	-23.362228	-23.007159	-23.381954	-23.579215	-24.581956	-23.848804	-24.249901	-28.135934	-151.680235	-149.105985	-24.779217	-24.065791	-164.765187	-159.863262	-148.109819	-138.825421	-142.589810	5254.318290	4310.005592	15.383038	-6.844942	1.821373	11.381935	-0.861371	-6.884394	-12.542485	16.606053	46.629113	10.846044	12.854814	-2.452607	15.221941	-3.583567	39.619788	15.863038	2.725484	8.360561	-18.854824	11.996731	5.562748	19.647154	12.069060	5.914530	10.813167	5.381926	-5.040008	15.767696	10.691523	5.053159
18:24:26:182	-36.272933	-52.540355	-70.362849	-90.920689	-104.429751	-104.403450	-99.761251	-98.281796	-86.725614	-70.103122	-58.497625	-39.662527	-39.126636	-34.185259	-34.583067	-31.006076	-29.894841	-29.986896	-29.644978	-29.247169	-28.237852	-28.520592	-25.226341	-144.480224	-147.531188	-30.651006	-25.653738	-173.474242	-159.961892	-146.643515	-139.739395	-142.136111	5536.236536	6418.451603	14.018652	8.035081	-7.933163	15.534271	0.453699	6.815353	16.665231	5.783023	14.084405	2.709045	-5.612064	14.692626	20.676196	11.490429	-4.126034	4.464664	6.835079	11.053168	-18.854824	20.261949	22.435103	21.064142	8.035081	1.732605	10.813167	8.100834	18.999482	14.350707	4.001102	9.093713
18:24:26:183	-35.066356	-48.914049	-67.847777	-83.641774	-96.973301	-99.363442	-94.145900	-88.550274	-71.572714	-59.990230	-51.856519	-36.877865	-34.865808	-31.107993	-31.140870	-29.072922	-26.544699	-27.021412	-26.564425	-26.962234	-26.317849	-26.702507	-27.166070	-151.867633	-149.105985	-27.514563	-25.561683	-171.393143	-161.050113	-144.716937	-137.911447	-140.952547	4858.830553	4772.578365	16.750711	-13.627418	-2.367127	4.474527	-3.534252	10.911798	-0.026301	11.184675	10.007687	-10.859195	22.786885	37.541976	20.676196	26.541411	4.086582	4.464664	9.590152	19.117838	-3.225210	20.261949	4.155623	8.317821	32.199502	5.914530	-10.747414	42.019791	14.771530	-13.966049	-2.686032	-0.335343
18:24:26:192	-45.369933	-54.582003	-67.364488	-80.600673	-91.913567	-92.508637	-88.829727	-83.631911	-71.664769	-60.180915	-50.945832	-29.418128	-32.686078	-29.220867	-29.040045	-28.244427	-28.313469	-26.732096	-27.429084	-27.248261	-27.047713	-26.429630	-26.778124	-149.247355	-149.569547	-26.804425	-25.561683	-171.393143	-162.634773	-144.808992	-138.641311	-142.954742	6295.814701	6876.970671	8.567685	24.292640	17.135369	11.381935	7.130970	13.653720	13.880569	11.184675	-3.557266	20.340853	29.878403	7.538642	35.628548	-9.070699	16.385779	14.436187	1.364386	8.360561	-3.225210	10.638921	29.451005	2.663018	25.495930	4.520555	-5.365488	20.314552	2.041647	3.027950	9.350151	15.807148
18:24:26:204	-43.515684	-56.998445	-69.202299	-74.705869	-85.433557	-86.462600	-89.230823	-90.657675	-79.150808	-64.612703	-47.852129	-30.854842	-24.062503	-31.403884	-24.641134	-22.994008	-21.889349	-22.809898	-23.579215	-23.917845	-24.305791	-24.434011	-26.002232	-149.901602	-148.642422	-23.056474	-22.477843	-169.404098	-164.712584	-144.256662	-137.546515	-143.043510	4463.352679	4651.782561	-20.100853	12.105224	5.986859	-6.581928	29.799498	2.699182	6.936997	7.117819	11.365497	-0.006575	15.698654	0.407672	16.586327	7.374258	10.911798	7.321655	-12.387964	0.295891	-1.801647	11.996731	16.803314	-8.666315	16.103039	14.265228	-12.098649	20.314552	7.689875	7.282203	14.715639	9.093713
18:24:26:212	-31.167172	-43.992397	-55.278990	-73.877375	-104.340984	-97.246178	-93.741515	-92.163431	-85.101502	-69.813807	-60.680642	-43.614314	-39.228554	-39.843349	-33.915669	-31.190185	-29.339224	-28.645524	-29.260319	-28.865798	-27.869632	-26.886617	-25.808259	-145.696664	-149.477492	-30.450458	-27.244974	-181.331788	-164.613954	-145.081869	-138.641311	-147.232009	6490.149249	5611.281036	9.935358	-4.132609	43.617602	23.822503	11.122209	-0.046027	-1.420276	26.077849	15.422490	14.922763	22.786885	20.393456	19.311811	8.745219	-8.215903	-12.641116	2.725484	2.991785	-4.648774	-0.358357	16.803314	9.734810	8.035081	10.099742	8.113985	27.090453	9.103576	-19.617565	22.744145	9.093713
18:24:26:222	-34.878958	-43.061985	-51.504737	-67.062022	-82.415470	-80.817660	-84.013281	-87.646163	-70.941480	-58.543652	-48.946925	-39.481705	-33.932107	-34.780328	-31.430186	-30.085526	-29.059771	-28.073468	-28.487715	-28.675113	-27.596755	-27.521139	-25.614286	-152.709278	-148.921875	-28.625798	-26.495384	-174.138352	-162.733403	-143.066523	-136.813363	-142.044056	4154.080966	4551.593912	3.100279	28.359496	5.986859	5.861927	12.457006	15.027969	-9.757823	15.251531	12.726595	-5.424666	8.587411	-3.886033	13.860843	0.532604	25.949629	44.370480	5.457543	-2.396716	-6.072338	2.376990	23.842229	18.226878	-0.013151	5.914530	0.032877	27.090453	7.689875	10.096454	25.426889	15.807148
18:24:26:232	-46.948018	-60.062559	-63.882839	-79.496014	-78.598478	-81.422592	-75.692172	-79.920124	-64.629141	-50.741997	-44.942535	-37.775401	-31.647172	-31.801693	-29.040045	-28.244427	-27.754564	-27.593467	-27.429084	-27.912372	-27.047713	-27.067439	-25.903602	-148.501052	-148.921875	-25.285519	-25.749081	-167.793137	-162.039703	-143.799675	-137.819392	-142.862687	6989.705093	6175.475884	20.853731	10.747414	-7.933163	0.322192	8.469054	19.124413	4.149048	16.606053	16.780300	4.070143	25.630725	23.257022	8.426314	18.328796	1.347947	14.436187	4.083294	5.684392	-34.484437	20.261949	32.268543	53.635152	24.151270	26.797850	1.384112	-0.036164	6.272886	-2.643292	61.591328	10.421934
18:24:26:242	-43.975959	-49.193501	-56.919540	-67.890516	-81.439030	-85.657119	-85.821503	-86.643422	-71.483947	-56.331046	-45.853222	-37.594579	-29.776485	-28.823058	-27.507988	-27.320590	-25.893739	-26.636754	-26.469082	-26.199493	-25.860862	-25.975931	-24.739764	-149.155300	-148.829820	-25.486067	-24.345243	-171.107115	-162.437512	-144.348717	-138.733366	-144.319128	4342.925095	5828.159181	9.935358	10.747414	10.175358	3.090416	-16.872355	19.124413	-9.757823	19.298660	23.572639	-10.859195	22.786885	8.972069	-2.455894	27.912372	1.347947	14.436187	35.720603	17.789617	26.594014	13.374267	19.620852	1.242742	12.069060	14.265228	17.543041	-1.393975	27.501413	1.610961	12.032895	22.523871
